Album,Song,Lyrics,Year,views
Make Out,ILYSB,"[Verse]
Ain't never felt this way
Can't get enough so stay with me
It's not like we got big plans
Let's drive around town holding hands

[Pre-Chorus]
And you need to know
You're the only one, alright, alright
And you need to know
That you keep me up all night, all night

[Chorus]
Oh, my heart hurts so good
I love you, babe, so bad, so bad
Oh, oh my heart hurts so good
I love you, babe, so bad, so bad

[Verse]
Mad cool in all my clothes
Mad warm when you get close to me
Slow dance these summer nights
Our disco ball's my kitchen light

[Pre-Chorus]
And you need to know
That nobody could take your place, your place
And you need to know
That I'm hella obsessed with your face, your face
[Chorus]
Oh, my heart hurts so good
I love you, babe, so bad, so bad
Oh, oh my heart hurts so good
I love you, babe, so bad, so bad
Oh, oh my heart hurts so good
I love you, babe, so bad, so bad, oh

[Pre-Chorus]
And you need to know
You're the only one alright, alright
And you need to know
That you keep me up all night, all night

[Chorus]
Oh, my heart hurts so good
I love you, babe, so bad, so bad
Oh, oh my heart hurts so good
I love you, babe, so bad, so bad, oh
So bad, oh
Oh, my heart hurt
Oh, my heart hurt
Oh, my heart hurt
So bad, oh",2015,192.1K
Make Out,Walk Away,"[Verse]
You and I would be just fine
If I was the one
To stay the day and waste away
But I tend to run

[Chorus]
I'm too good at leaving love
I'm too good at leaving love
I don't wanna be
I'm too good at leaving love
I'm too good at leaving love
I don't wanna be

[Verse]
It ain't fair, I don't care
Don't know what to say
Same old song, life goes on
I wish I could change

[Chorus]
I'm too good at leaving love
I'm too good at leaving love
I don't wanna be
I'm too good at leaving love
I'm too good at leaving love
I don't wanna be
[Bridge]
Walk away, walk away
Walk away, walk away
Walk away, walk away
Walk away, walk away
Walk away, walk away
Walk away, walk away

[Chorus]
I'm too good at leaving love
I'm too good at leaving love
I don't wanna be (Walk away, walk away)
I'm too good at leaving love
I'm too good at leaving love
I don't wanna be (Walk away, walk away)
I'm too good at leaving love
I'm too good at leaving love
I don't wanna be (Walk away, walk away)
I'm too good at leaving love
I'm too good at leaving love
I don't wanna be",2015,78.9K
Make Out,"Bad, Bad, Bad","[Verse]
Back to high school love
The kind without the drugs
We were just two city kids
We would run around
And tear a few things down
But that's the worst that it would get

[Chorus]
Bad, bad, bad we're in trouble now
Or so, so, so they say
They think they've got us figured out
But we kinda like it, that way

[Verse]
It was just a crush
But wild and dangerous
You and I were out too late
Started in my car
Might have gone too far
But we were down to make mistakes

[Chorus]
Bad, bad, bad we're in trouble now
Or so, so, so they'd say
They think they've got us figured out
But we kinda like it, that way
[Bridge]
They say we're going to hell
Let's find a cheap motel
And stay a couple nights
And when our time is done
We'll go back on the run
Do whatever we like

[Chorus]
Bad, bad, bad we're in trouble now
Or so, so, so they'd say
They think they've got us figured out
But we kinda like it, that way

[Bridge]
They say we're going to hell
Let's find a cheap motel
And stay a couple nights
And when our time is done
We'll go back on the run
Do whatever we like
They say we're going to hell
Let's find a cheap motel
And stay a couple nights
And when our time is done
We'll go back on the run
Do whatever we like",2015,62.1K
Make Out,Made in Hollywood,"[Verse]
Turn off the lights, come and lay with me
Write your name on my hand, just like we're seventeen
Orange through the blinds, the sun is almost down
It's just a matter of time until we run this, town

[Pre-Chorus]
Young love
West Coast
Who cares?
Who knows?
Young love
West Coast
Who cares?
Who knows?

[Verse]
Keep it low key, so we rep all black
Wear our shades on our nose, 'cause we're cool like that
Drive to the beach, kiss me nice and slow
Michael Jackson so loud on my radio

[Pre-Chorus]
Young love
West Coast
Who cares?
Who knows?
Young love
West Coast
Who cares?
Who knows?

[Chorus]
We'll dream about it
Talk, talk about it
Won't live without it
Made in Hollywood
We'll dream about it
Talk, talk about it
Won't live without it
Made in Hollywood

[Pre-Chorus]
Young love
West Coast
Who cares?
Who knows?
Young love
West Coast
Who cares?
Who knows?

[Chorus]
We'll dream about it
Talk, talk about it
Won't live without it
Made in Hollywood
We'll dream about it
Talk, talk about it
Won't live without it
Made in Hollywood",2015,59K
Make Out,Kiss,"[Verse]
The sun is down
You're not around, wait a minute
Where are you?
Just tell the truth, you won't admit it

[Chorus]
I hope it was worth all this and I know that you feel like sh..
Don't you tell me ""It was just a kiss""
I hope you always regret
And I know that you won't forget how I loved ya
You're gonna miss my lips

[Verse]
It's kinda fine
Been outta line for a minute
You don't care
And I've been scared to admit it

[Chorus]
I hope it was worth all this and I know that you feel like sh..
Don't you tell me ""It was just a kiss""
I hope you always regret
And I know that you won't forget how I loved ya
You're gonna miss my lips
[Chorus]
I hope it was worth all this and I know that you feel like sh..
Don't you tell me ""It was just a kiss""
I hope you always regret
And I know that you won't forget how I loved ya
You're gonna miss my lips

[Chorus]
I hope it was worth all this and I know that you feel like sh..
Don't you tell me ""It was just a kiss""
I hope you always regret
And I know that you won't forget how I loved ya
You're gonna miss my lips",2015,15.8K
Make Out,BRB,"[Verse]
LA, LA, where you and I found, found each other
LA, LA, dirty good love don't last forever
New York, New York, you've stolen my heart and run it over
New York, New York, New York, New York

[Chorus]
Be right back, I'm gonna cry myself, myself to sleep
How'd you in fall in love, in love, without me?
Be right back, I'm gonna throw, myself, against the wall
Be right back, tell me you'll be right back

[Verse]
You were, you were, the drug of my choice, my great escape now
You are, you are, the drug of the town, who hasn't had a taste?
Come on, come on, everything’s fine, fine in LA
New York, New York, no more, no more

[Chorus]
Be right back, I'm gonna cry myself, myself to sleep
How'd you in fall in love, in love, without me?
Be right back, I'm gonna throw, myself, against the wall
Be right back, tell me you'll be right back

[Outro]
LA, New York
LA, New York
LA, New York
But I want you more
LA, New York
LA, New York
LA, New York
LA, New York
But I want you more
LA, New York",2015,31K
kinda,like you lots,"[Verse]
Grab your coat
The sun sets right at 6:35 tonight
Gets kinda cold, but I wanna hold ya
Please tell me that's alright

[Pre-Chorus 1]
It's been a while since we first met at the party up on the hill
And I'm thinking we should make out if you want me still

[Chorus]
You are my number one, baby
I like you lots
I think everybody knows, baby
I like you lots

[Verse]
Windows down, we can smell the ocean
It's hard to see through our hair
When we're together, we look like the coolest
Babe you know they all stare

[Pre-Chorus]
It's been a while since we first met at the party up on the hill
And I'm thinking we should make out if you want me still
[Chorus]
You are my number one, baby
I like you lots
I think everybody knows, baby
I like you lots
You are my number one, baby
I like you lots
I think everybody knows, baby
I like you lots

[Pre-Chorus 2]
It's been a while since we first met at the party up on the hill
Do you think that we should make out?
You know I want you still

[Chorus]
You are my number one, baby
I like you lots
I think everybody knows, baby
I like you lots
You are my number one, baby
I like you lots
I think everybody knows, baby
I like you lots
I like you lots
I like you lots",2016,63.1K
kinda,"yea, babe, no way","[Verse]
White jeans, daydream
You and me, our sheets
Wearing Nike
Kissing, no sleep

[Pre-Chorus]
Damn, tell me where we went wrong
Been in love for so long, now it's over
How, how did we get this far?
Still not know who we are
Is this really over?

[Chorus]
Everything was better when
You would call and I'd be like, ""yeah, babe""
We should talk about love again
Every night I'm wide awake
I almost call you, then I'm like, ""no way""
Oh, no way

[Verse]
Hate how it feels
I know you're down the street
With someone else but me
Time, yeah, I need time
Can't forget about how you let me down
[Pre-Chorus]
Damn, tell me where we went wrong
Been in love for so long, now it's over
How, how did we get this far?
Still not know who we are
Is this really over?

[Chorus]
Everything was better when
You would call and I'd be like, ""yeah, babe""
We should talk about love again
Every night I'm wide awake
I almost call you, then I'm like, ""no way""
Oh, no way

[Instrumental Bridge]

[Chorus]
Everything was better when
You would call and I'd be like, ""yeah, babe""
We should talk about love again
Every night I'm wide awake
I almost call you, then I'm like, ""no way""
Oh, no way
Everything was better when
(Tell me where we went wrong)
You would call and I'd be like, ""yeah, babe""
(Been in love for so long)
We should talk about love again
Every night I'm wide awake
(How did we get this far)
I almost call you, then I'm like, ""no way""
(Still don't know who we are)
Oh, no way",2016,99.3K
kinda,pink skies,"[Verse]
Thrift store fashion
Imperfect tattoos
Taking showers
Minus shampoo

[Pre-Chorus]
You are my favorite everything
Been telling girls that since I was 16
Shut up, I love you
You're my best friend

[Chorus]
Get ya under pink skies, I know exactly where we should go
'Cause I love the way your green eyes mix with that Malibu indigo
Talking under pink skies, I think our hearts are starting to show
That it's better, you and I, under pink skies

[Verse]
Underwear, I kinda care
Wanna look good for you
British bomb, you turn me on
No matter what ya do

[Pre-Chorus 2]
You are my favorite everything
Been telling you that since 2015
Shut up, I love you
You're my best friend

[Chorus]
Get you under pink skies, I know exactly where we should go
'Cause I love the way your green eyes mix with that Malibu indigo
Talking under pink skies, I think our hearts are starting to show
That it's better, you and I, under pink skies

[Bridge]
We can work it out
You and I are meant to be together
This is how it's supposed to feel
I'm in love with how this feels

[Chorus]
Get ya under pink skies, I know exactly where we should go
'Cause I love the way your green eyes mix with that Malibu indigo
Talking under pink skies, I think our hearts are starting to show
That it's better you and I under pink skies
Get you under pink skies, I know exactly where we should go
'Cause I love the way your green eyes mix with that Malibu indigo
Talking under pink skies, I think our hearts are starting to show
And it's better, you and I, under pink skies",2016,556.1K
kinda,current location,"[Verse]
How'd you fail to mention
That you might be moving
In four months to London?
Now our days are numbered
""Should I try?"" I wonder
Wait, how far is London?

[Chorus]
I need my current location
To be your current location
Fly back to me
I need my current location
To be your current location
Fly back to me
Fly back to me

[Verse]
You say it's just the season
Got the job, so now you're leaving
Kinda hate that reason
Please, don't get me wrong now
I want what you want
But how long will you be gone?

[Chorus]
I need my current location
To be your current location
Fly back to me
I need my current location
To be your current location
Fly back to me
Fly back to me
[Bridge]
Don't make me look stupid
For waiting just to lose ya
Love me? Can you prove it?

[Chorus]
I need my current location
To be your current location
Fly back to me
I need my current location
To be your current location
Fly back to me
I need my current location
Fly back to me
I need my current location

[Outro]
Fly back to me, come back to me, then stay with me, yeah
Fly back to me, come back to me, then stay with me, yeah
Fly back to me, come back to me, can you stay with me?
Fly back to me, come back to me, then stay with me, yeah",2016,179.7K
kinda,quit,"[Verse]
Can you chill, stop freaking out for a second?
'Cause it's hard to think when you're losing your mind
And I know that you've got, like, ten thousand questions
And to be real, I actually don't have time

[Pre-Chorus 1]
'Cause we could fight all day about the future
But I don't even know where I'll be next week
Or we could hang all day, forget the future
I'm here right now, just be here right now with me

[Chorus]
Quit running away, you're running outta room
You and I know that's not what you wanna do
Quit running away, quit running away
Quit running away, you're running outta room
You and I know that's not what you wanna do
Quit running away, quit running away

[Verse]
You've been hurt, but come on, nobody's perfect
And I'm tired of hearing how they did ya wrong
'Cause I'm not them, you're not with them, can we drop it?
How good would it be if you just move on?
[Pre-Chorus 2]
'Cause we can fight all day about the future
But I don't even know where I'll be next week
Or we could dance all night, forget the future
I'm here right now, just be here right now with me

[Chorus]
Quit running away, you're running out of room
You and I know that's not what you wanna do
Quit running away, quit running away
Quit running away, you're running out of room
You and I know that's not what you wanna do
Quit running away, quit running away

[Pre-Chorus 1]
'Cause we could fight all day about the future
But I don't even know where I'll be next week
Or we could hang all day, forget the future
I'm here right now, just be here right now with me

[Chorus]
Quit running away, you're running out of room
You and I know that's not what you wanna do
Quit running away, yeah, quit running away
Quit running away, you're running out of room
You and I know that's not what you wanna do
Quit running away, quit running away
",2016,68.6K
kinda,WHERE THE HELL ARE MY FRIENDS,"[Verse]
Where the hell are my friends?
Home alone, not again
Friday, wine, and the internet
The only love I seem to get

[Pre-Chorus]
And I don't, and I don't, and I don't know why
I don't have anyone on a weekend night
Where the hell are my friends?
Where the hell are my friends?

[Chorus]
Am I starting to hate California?
Why am I in L.A?
40 million in California
No one cares if I stay
Am I starting to hate California?
Why am I in L.A?
40 million in California
But God, I'm so in love with this place

[Verse]
Where the hell are my friends?
Out without me again
Friday, wine, and the internet
A life I wish I could forget
[Pre-Chorus]
And I don't, and I don't, and I don't know why
I don't have anyone on a weekend night
Where the hell are my friends?
Do I have any friends?

[Chorus]
Am I starting to hate California?
Why am I in L.A?
40 million in California
No one cares if I stay
Am I starting to hate California?
Why am I in L.A?
40 million in California
But God, I'm so in love with this place

[Bridge]
Am I starting to hate California?
40 million in California

[Chorus]
Am I starting to hate California?
Why am I in L.A?
40 million in California
But God, I'm so in love with this place
",2016,26.3K
LANY,The Breakup,"[Verse]
I jump from heart to heart, and it's starting to wear me down
""Oh, he's a total dick"" is my reputation now 'round town
My momma always said, ""Hey take it slow.""
But how the hell do you fall in love?
The last time I checked, you can't fall in slow mo

[Chorus]
You think you wanna be, you wanna be alone
Just wait until you're crying on the shower floor
It hits you in the chest, 'bout every day you're done
'Cause once you let it go, you better know it's gone
Ooh ooh
It's never the same, uh, yeah, after the breakup
Ooh ooh
It's never the same, love, don't try to make up

[Verse]
Middle of the day, middle of the road, I'm dead
They've got a pretty face
But they've got a pretty empty head
And I want to stick around, but damn I'm bored
How the hell do you stay in love?
You're at dinner looking down playing with your knife and fork

[Chorus]
You think you wanna be, you wanna be alone
Just wait until you're crying on the shower floor
It hits you in the chest, 'bout every day you're done
'Cause once you let it go, you better know it's gone
Ooh ooh
It's never the same, uh, yeah, after the breakup
Ooh ooh
It's never the same, love, don't try to make up

You think you wanna be, you wanna be alone
Just wait until you're crying on the shower floor
It hits you in the chest, 'bout every day you're done
'Cause once you let it go, you better know it's gone
Ooh ooh
It's never the same, uh, yeah after the breakup
Ooh ooh
It's never the same, love, don't try to make up",2017,199.6K
LANY,Super Far,"[Verse]
Up all night on my mind got me thinking
Wanna stay, can you give me a reason?
I don't think so, I don't think so
I'm in love with someone, but I'm not sure
She can love someone back the way they love her
I don't think so, I don't think so

[Pre-Chorus 1]
Don't be mean, if you wanna go
You can leave and leave my heart alone

[Chorus]
Waking up to nothing when you're super far from home
And I watch you fall asleep at night and lay there on my own
Got me begging for affection, all you do is roll your eyes
Broken down, I've had enough
If this is love, I don't want it

[Verse]
Give it time, c'mon babe, it's been ten months
You should know, do you know, know what you want?
I don't think so, I don't think so
Make it work, know it hurts, but I'll go there
Do the same, can you show me that you care?
God, I hope so, but I don't think so

[Pre-Chorus 2]
Don't be mean, if you're here for good
I'm gonna need a little more from you

[Chorus]
Waking up to nothing when you're super far from home
And I watch you fall asleep at night and lay there on my own
Got me begging for affection, all you do is roll your eyes
Broken down, I've had enough
If this is love, I don't want it
All my friends keep saying that I'm way too good to you
But my heart is so invested, I don't wanna face the truth
I'm not happy, and you know it, and you still don't even try
Broken down, I've had enough
If this is love, I don't want it

[Instrumental]

[Chorus]
Waking up to nothing when you're super far from home
And I watch you fall asleep at night and lay there on my own
Got me begging for affection, all you do is roll your eyes
Broken down, I've had enough
If this is love, I don't want it
All my friends keep saying that I'm way too good to you
But my heart is so invested, I don't wanna face the truth
I'm not happy, and you know it, and you still don't even try
Broken down, I've had enough
If this is love, I don't want it",2017,951.2K
LANY,Overtime,"[Verse]
I wanna love it, but I just can't
Shot down when our souls began to dance
November, upstairs, what do you mean?
Calm down, you're the one that lied to me

[Refrain]
You prayed to God, and I trusted that
I gave it up, and now I can't ever get it back
And all your friends on Sunday morning
Do they have a clue? Wish I could have got a warning

[Chorus]
This can't be the end
If it ends like this, you win
Overtime, overtime
Forgive, my God, I'm tryin'
This can't be the end
If it ends like this, you win
Overtime, overtime
Forgive, my God, I'm tryin'

[Verse]
It was magic on the first touch
Turned tragic when I caught you coverin' up
Tell me how you put those tears in your eyes
Grand Central, downstairs, skippin' work that night

[Refrain]
You prayed to God, and I trusted that
I gave it up, and now I can't ever get it back
And all your friends on Sunday morning
Do they have a clue? Wish I could have got a warning

[Chorus]
This can't be the end
If it ends like this, you win
Overtime, overtime
Forgive, my God, I'm tryin'
This can't be the end
If it ends like this, you win
Overtime, overtime
Forgive, my God, I'm tryin'
This can't be the end
If it ends like this, you win
Overtime, overtime
Forgive, my God, I'm tryin'
This can't be the end
If it ends like this, you win
Overtime, overtime
Forgive, my God, I'm tryin'",2017,43.7K
LANY,Flowers On the Floor,"[Verse]
Lay it all out
I'm tired of this, and it's startin' to rain
Come on, make a sound
Didn't leave tonight for you to say nothing
It's been about a week
Since I've had a bite and it's startin' to show
The bones above my cheeks
Are gonna break the skin if you try to let me go

[Pre-Chorus]
Spillin' all my guts
And I think you kinda love it
Think I might be sick
From how much you know I love ya

[Chorus]
Cheap excuse, no time
Do you even mind that I
Left flowers on the floor?
Flowers on the floor
Cheap excuse this time
Last time in Hell that I
Leave flowers on the floor
Flowers on the floor

[Post-Chorus]
Flowers on the floor
Flowers on the floor
Flowers on the floor
Flowers on the floor

[Verse]
Every knuckle taped
I don't wanna fight, but you're out for blood
We could go 10 rounds
But you know the score wouldn't be unanimous
Open up your head
Wanna swim around that tumultuous brain
The bones above my cheeks
Are gonna break the skin if you try to walk away

[Pre-Chorus]
Spillin' all my guts
And I think you kinda love it
Think I might be sick
From how much you know I love ya

[Chorus]
Cheap excuse, no time
Do you even mind that I
Left flowers on the floor?
Flowers on the floor
Cheap excuse this time
Last time in Hell that I
Leave flowers on the floor
Flowers on the floor
Cheap excuse, no time
Do you even mind that I
Left flowers on the floor?
Flowers on the floor
Cheap excuse this time
Last time in Hell that I
Leave flowers on the floor
Flowers on the floor
",2017,65.3K
LANY,13,"[Verse]
It could change, but this feels like, like the calm before the storm
Not that I don't wanna try, but I've been here before
Friends in town, phone's at home, I tell myself it's fine
Can't remember how you taste, slept alone too many nights

[Chorus]
Where did we go wrong? I know we started out alright
Where did we go wrong? I swear I knew we'd last this time
Where did we go wrong? Oh, did you, did you change your mind?
How could you change your mind?
Who got inside your mind?
Where did we go wrong? I know we started out alright
Where did we go wrong? I swear I knew we'd last this time
Where did we go wrong? Oh, did you, did you change your mind?
How could you change your mind?
Who got inside your mind?

[Verse]
Half my clothes are at your house, and I don't want them back
The smell of you is way too much, not gonna put my heart through that
I don't know how much time we got, I don't know how much to say
I don't know, tell me what you want, I want you to want me to stay

[Chorus]
Where did we go wrong? I know we started out alright
Where did we go wrong? I swear I knew we'd last this time
Where did we go wrong? Oh, did you, did you change your mind?
How could you change your mind?
Who got inside your mind?
Where did we go wrong? I know we started out alright
Where did we go wrong? I swear I knew we'd last this time
Where did we go wrong? Oh, did you, did you change your mind?
How could you change your mind?
Who got inside your mind?

[Bridge]
La-la-la-la-la-la-la-la
La-la-la-la-la, oh yeah
La-la-la-la-la-la-la-la
Ooh, ooh, ooh

[Chorus]
Where did we go wrong? I know we started out alright
Where did we go wrong? I swear I knew we'd last this time
Where did we go wrong? Oh, did you, did you change your mind?
How could you change your mind?
Who got inside your mind?
Where did we go wrong? I know we started out alright
Where did we go wrong? I swear I knew we'd last this time
Where did we go wrong? Oh, did you, did you change your mind?
How could you change your mind?
Who got inside your mind?",2017,736.7K
LANY,Hericane,"[Verse]
I don't know when this tornado hit
You're from the east coast, so let's both call it
A hurricane
A hericane
Pacin' through the, the back of my mind
Maybe you've been a storm all this time
A hurricane
A hericane

[Pre-Chorus]
Stop all this sin
Be born again
If you want to, if you want to

[Chorus]
'Cause our home's a wreck, look at this mess
You blame it on disobedience
But I think it's time, time you realized
You're the one in the wrong

[Verse]
Oklahoma, this time of year
California, it's different out here
No hericane
No hericane
I'm not runnin' from all my pain
But it can't go, go without sayin'
No hericane
No hericane

[Pre-Chorus]
Stop all this sin
Start over again
If you want to, if you want to

[Chorus]
'Cause our home's a wreck, look at this mess
You blame it on disobedience
But I think it's time, time you realized
You're the one in the wrong
Caught in the midst of your insecure winds
Breakin' us down and wearin' us thin
But I love you still, I always will
But you're the one in the wrong

[Bridge]
I know your heart hurts the most at 3 AM
I know he left before you could even know him
I've done my best to carry all this weight
I love you still, I always will, but this needs to change

[Chorus]
'Cause our home's a wreck, look at this mess
You blame it on disobedience
But I think it's time, time you realized
You're the one in the wrong
Caught in the midst of your insecure winds
Breakin' us down and wearin' us thin
But I love you still, I always will
But you're the one in the wrong
",2017,524.4K
LANY,Hurts,"[Verse]
Here I am again, back to my old ways
Frozen with my thoughts
Wasting all my younger days
And I just can't decide, should I be alone?
Hate the way I am, up every night, glued to my phone

[Chorus]
Please tell me why it's easy at first
But then it all breaks
The more you love, the more it hurts
And I was just fine if it didn't work
But now that you're mine
The more I love, the more it hurts, oh

[Verse]
Honestly, it's me, I am so messed up
Making all the ones who care about me wanna run
The sunset's black and white, it didn't used to be
I remember when it was pink skies, just you and me

[Chorus]
Please tell me why it's easy at first
But then it all breaks
The more you love, the more it hurts
And I was just fine if it didn't work
But now that you're mine
The more I love, the more it hurts, oh
Ye-eah, oh oh
The more you love, the more it hurts


[Bridge]
I can't help myself
You're the one I want
It might be bad right now
But losing you would really suck

[Chorus]
Please tell me why it's easy at first
But then it all breaks
The more you love, the more it hurts
And I was just fine if it didn't work
But now that you're mine
The more I love, the more it hurts, oh
Ye-eah, oh oh
The more you love, the more it hurts
Ye-eah, oh oh
The more I love, the more it hurts, oh",2017,306K
LANY,Good Girls,"[Verse]
Dancing on the line of a dangerous love
You could break me overnight
But there's no one like us
Insatiably insane
Equally exchanged

[Pre-Chorus 1]
Dancing in the light of a canyon sun
Racing every wave
Going north on the one
The promises we made
I still haven't changed

[Chorus]
Baby, come back, I know my way around your heart
Don't start thinking
Things have kinda changed
They're different from what they are
You know better
That nothing is better than what we built together at home
You can find me
Back in California and sleeping with all the lights on
Won't you come and turn them out?
Come and turn them out
Come and turn them out
Come and turn them out

[Verse]
Making more than love on the west side of town
You could draw a line from the top to the ground
I'm selfless, drunk on you
What more could I do?

[Pre-Chorus 2]
Throw it all away 'cause you do what you want
You took a little time, let 'em talk to you too much
Good girls don't exist
But I expected more than this

[Chorus]
Baby, come back, I know my way around your heart
Don't start thinking
Things have kinda changed
They're different from what they are
You know better
That nothing is better than what we built together at home
You can find me
Back in California and sleeping with all the lights on
Won't you come and turn them out?
Come and turn them out
Come and turn them out
Come and turn them out
",2017,304.8K
LANY,Pancakes,"[Verse]
Pick up the phone, I swear to God, I miss you
I love the way you sound when it’s dark outside
Pancakes, Champagne, 15 away, it’s almost 2
Those hands, the way your fingers fit between mine

[Pre-Chorus]
I'm not any good at secrets
Could we fill a roll of film?
The way those old Levi’s look on you
Got me thinking, ""Damn, I'm in""

[Chorus]
""Hoo ooh hoo,"" that’s the way my heart feels
""Hoo ooh hoo,"" that’s the way my heart feels
""Hoo ooh hoo,"" that’s the way my heart feels
""Hoo ooh hoo, hoo ooh hoo""

[Verse]
You are the best, please don't ever change on me
Cloud nine times nine my mind when I'm gone with you
Pancakes, champagne, babe, can I stay? It's almost 3
My hands get cold in that BMW

[Pre-Chorus]
I'm not any good at secrets
Could we fill a roll of film?
The way those old Levi’s look on you
Got me thinking, ""Damn, I'm in""

[Chorus]
""Hoo ooh hoo,"" that’s the way my heart feels
""Hoo ooh hoo,"" that’s the way my heart feels
""Hoo ooh hoo,"" that’s the way my heart feels
""Hoo ooh hoo, hoo ooh hoo""

[Chorus]
""Hoo ooh hoo,"" that’s the way my heart feels
""Hoo ooh hoo,"" that’s the way my heart feels
""Hoo ooh hoo,"" that’s the way my heart feels
""Hoo ooh hoo, hoo ooh hoo""

[Outro]
Pancakes
Pancakes, champagne
Pancakes
Pancakes, champagne
Pancakes, champagne",2017,59.5K
LANY,Tampa,"[Verse]
Stuck in Florida one more night
5 a.m., catch a Tampa flight
I'm just tryna get back home
To a girl who's lied but she don't know I know
I've held it in 'cause I've been on the road
Paul, welcome home

[Chorus]
I can do better than this
I can do better than this
I can do better than this
I can do better than this
I can do better than this

[Verse]
A text, a call, another fight
I'm always first to apologize
I never know which you I'll get
Am I the only one who gives a shit?
But if I know myself, I know that I won't quit
Paul, you should quit

[Chorus]
I can do better than this
I can do better than this
I can do better than this
I can do better than this
I can do better than this

[Instrumental Bridge]

[Chorus]
I can do better than this
I can do better than this
I can do better than this
I can do better than this
I can do better than this
I can do better than this
I can do better than this
I can do better than this
I can do better than this
I can do better than this
I can do better than this
I can do better than this
I can do better than this

[Outro]
Better than",2017,40.2K
LANY,Purple Teeth,"[Verse]
Closer than before
I know you feel the same way, too
Watercolor nights
You painted these, I'm impressed by you

[Refrain]
Question love and God
And will you find what you're looking for
We laugh so we don't cry
Purple teeth lying on the floor

[Pre-Chorus]
Just like that
You've come back again
My cracked lips
On a familiar skin

[Chorus]
But I slept in my clothes
'Cause I'm too scared of us
I know what I lost in those previous months
Perplexed on the porch
'Cause you hate what I do
So why did you ask me to stay here with you?

[Verse]
Easier than this
I'm guilty of living black and white
Quick to let me know
There's so much more than what meets the eye

[Refrain]
Question love and God
And what are we even living for
We dance so we don't die
Purple teeth moving on the floor

[Pre-Chorus]
Just like that
You've come back again
My cracked lips
On a familiar skin

[Chorus]
But I slept in my clothes
'Cause I'm too scared of us
I know what I lost in those previous months
Perplexed on the porch
'Cause you hate what I do
So why did you ask me to stay here with you?
",2017,58K
LANY,It Was Love,"[Verse]
We were sixteen but I had
Known you since second grade
We were best friends but I had
Wanted you in different ways

We would pass notes in science
And I would end 'em with a heart
We would pass the extra time in
The back of my beat-up car

[Chorus]
It was love
I know you know that
It was us
I wish I could go back
To sneaking around at night
And thinking we had our whole lives
It was love
I know you know that

[Verse]
I don't think I ever told you
I hated that it had to end
But it was two months until you
Started dating my best friend
Never mind, this is stupid
But I just have to say
Even though I know you're married
I think about you every day

[Chorus]
It was love
I know you know that
It was us
I wish I could go back
To sneaking around at night
And thinking we had our whole lives
It was love
I know you know that

It was love
I know you know that
It was us
I wish I could go back
To sneaking around at night
And thinking we had our whole lives
It was love
I know you know that

[Interlude]

[Outro]
It was love
It was us
It was love
It was us
Sneaking around at night
And thinking we had our whole lives
It was love
I know you know that",2017,96.2K
LANY,Dumb Stuff,"[Chorus]
Oh my god, I think I'm in love
The way we stay up late and talk about dumb stuff

[Verse]
And there is no one else, I would rather be with
Please, promise you want me
Oh my god, is my love too much?
Come on take my hand baby
Dance in this pouring rain
Cause what we've got is like a movie
And I'm not above a good cliché

[Chorus]
Oh my god, I think I'm in love
The way we stay up late and talk about dumb stuff",2017,74.7K
