Album,Song,Lyrics,Year,views
Malibu Nights,Taking Me Back,"[Verse]
Move into the morning
Champagne on our lips
Are we overthinking?
We can't come down like this

[Pre-Chorus]
If I could, know I would try
Tell me now, tell me how
To change your mind

[Chorus]
I can’t take it back, can't take it back
Is it even that bad?
We can go back, we can go back
'Cause I know you know our
Love is like that, love is like that
Can I talk you into
Taking me back, taking me back?
So baby, won’t you slow down?
This can make or break us
Hold out, spend the night and wake up
'Cause right now I can't seem to show you
We can go back, we can go back

[Verse]
Words fell out like water
Tangled in our thoughts
I just want to hold you
But you won't let us move on

[Pre-Chorus]
If I could, know I would try
Tell me now, tell me how
To change your mind

[Chorus]
I can't take it back, can't take it back
Is it even that bad?
We can go back, we can go back
'Cause I know you know our
Love is like that, love is like that
Can I talk you into
Taking me back, taking me back?
So baby, won't you slow down?
This can make or break us
Hold out, spend the night and wake up
’Cause right now I can’t seem to show you
We can go back, we can go back

[Bridge]
Now, oh
Now, hey, ahh
Oh, we can go back, we can go back
Won't you take me back?
Won’t you take me back?
Now, now
",2018,67K
Malibu Nights,If You See Her,"[Verse]
Just look at us
You'd never bet against our love
Got that kind of thing that lasts
Table for two
She said, ""For life,"" so I'm confused
How'd she turn it off so fast?

[Pre-Chorus]
Don't know what she left me for
She won't talk to me anymore

[Chorus]
So if you see her
Tell her I'd do anything, I need her
I know I'm not perfect but we were
She says she doesn't love me, don't believe her
If you see her

[Verse]
Maybe today
My phone will ring, I'll see her name
Trying not to hold my breath
It's all a blur
But I remember holding her last
Time that I was in her bed

[Pre-Chorus]
Woke up with her head on my chest
This doesn't make any sense

[Chorus]
So if you see her
Tell her I'd do anything, I need her
I know I'm not perfect but we were
She says she doesn't love me, don't believe her
If you see her
Does she remember? (Ooh)
The night before goodbye, she said forever (Ooh)
And made me swear I'd never leave her (Ooh)
She says she doesn't love me, don't believe her (Ooh)
If you see her, yeah

[Instrumental Break]

[Chorus]
So if you see her
Tell her I'd do anything, I need her (I need her)
I know I'm not perfect but we were (Too perfect)
She says she doesn't love me, don't believe her (Don't believe her)
If you see her (If you see her)
Does she remember? (Ahh)
The night before goodbye, she said forever (Ahh)
And made me swear I'd never leave her
(Made me swear I'd never leave her)
She says she doesn't love me, don't believe her (Ahh)
If you see her
",2018,123.9K
Malibu Nights,I Dont Wanna Love You Anymore,"[Verse]
I used to love these sheets
Dark hair against the white
I missed watching you get dressed in our hazy bedroom light
It took a couple weeks
Last night I finally cried
I remembered us in London, your chocolate-covered eyes

[Pre-Chorus]
Sick of staring up at the ceiling
How'd you change your mind just like that?
The only way to get past this feeling
Is to tell myself you're not coming back

[Chorus]
I don't wanna love you anymore
I don't wanna love you anymore
From the start, I never thought I'd say this before
But I don't wanna love you anymore

[Verse]
You got that letter framed
Is it still up on that shelf?
It's the one I left on our bed
When you were out of town

[Pre-Chorus]
Sick of staring up at the ceiling
How'd you change your mind just like that?
The only way to get past this feeling
Is to tell myself you're not coming back

[Chorus]
I don't wanna love you anymore
I don't wanna love you anymore
From the start, I never thought I'd say this before
But I don't wanna love you anymore
I don't wanna love you anymore
I don't wanna love you anymore
I can't forget the way it felt when you walked out the door
So I don't wanna love you anymore

[Bridge]
Sometimes I just wanna talk for a minute
But I can't bring myself to call
Because I know that your heart's not really in it
And whatever we had is gone
Sometimes I just wanna talk for a minute
But I can't bring myself to call
Because I know that your heart's not really in it
And whatever we had is gone
",2018,209.4K
Malibu Nights,Let Me Know,"[Verse]
Blue sky lights up the night, it's the morning
I can't get through to you
I wish that this floor would come to life and tell the story
'Cause no one knows where I missed my move

[Pre-Chorus]
How am I supposed to move on if
You don't even know what's really wrong? But

[Chorus]
Let me know if there's something I can do to fix it
Let me know if you ever change, if you ever change your mind
I can't promise you that I'll be waiting
But for you, I'll leave anything behind

[Verse]
Back and forth, cigarettes and fast talking
I feel you slip away
I can't understand the reasons why you say you're leaving
'Cause you were so in love with me yesterday

[Pre-Chorus]
How am I supposed to move on if
You don't even know what's really wrong? But

[Chorus]
Let me know if there's something I can do to fix it
Let me know if you ever change, if you ever change your mind
I can't promise you that I'll be waiting
But for you, I'll leave anything behind
Let me know if there's something I can do to fix it
Let me know if you ever change, if you ever change your mind
I can't promise you that I'll be waiting
But for you, I'll leave anything behind

[Guitar Solo]

[Chorus]
Let me know if there's something I can do to fix it
Let me know if you ever change, if you ever change your mind
I can't promise you that I'll be waiting
But for you, I'll leave anything behind
Let me know if there's something I can do to fix it
(I still love you, let me know)
Let me know if you ever change, if you ever change your mind
(I still love you, let me know)
I can't promise you that I'll be waiting
(I still love you, let me know)
But for you, I'll leave anything behind
(I still love you, let me know)
",2018,99.4K
Malibu Nights,Run,"[Verse]
I heard from a couple friends
That you're back with your ex again
But I know there's no way
After everything you said 'bout him

[Pre-Chorus]
Maybe you were lying
Maybe you were trying to cover it up
Took for granted my love
Now you're going backwards
Please don't call me after
You finally wake up
Took for granted my love

[Chorus]
So go ahead and run, run, run
Back to who you were running from
Just make sure you
Don't run back to me when you're done
Got a handful of sleeping pills
A phone full of no one real
This is all too much to deal, ahh
Run, run, run
Back to who you were running from
(Running from you)

[Verse]
It was like something switched
We were fine, then overnight you flipped
Your family and all your friends
On my side, they said they were in
I was in (I was in)

[Pre-Chorus]
Maybe they were lying
Maybe they were trying to cover it up
Took for granted my love
Now you're going backwards
Please don't call me after
You finally wake up
Took for granted my love

[Chorus]
So go ahead and run, run, run
Back to who you were running from
Just make sure you
Don't run back to me when you're done
Got a handful of sleeping pills
A phone full of no one real
This is all too much to deal, ahh
Run, run, run
Back to who you were running from
(Running from you)
",2018,66.4K
Malibu Nights,Valentine’s Day,"[Verse]
Counted up the days
Since it went to hell and I watched you walk out
Counted up the ways
I've tried to save myself and I've kept my head down

[Pre-Chorus]
I think it's time
To give my heart a chance
See if it's healed by now
I think it's time, I think it's time

[Chorus]
I'm hanging out with someone else
I think they like me too
Will it last? It’s hard to tell
When everything feels so new
Against her hips I find some help
But I know it's not the truth
No matter what I tell myself
She's not as good, she's not as good
She's not as good as you, no

[Verse]
There's not a day
Where the thought of you doesn't wake up with me
Gotta be a way
I could live without ya and not feel empty

[Pre-Chorus]
I think it's time
To give my heart a chance
Even though it's bleeding
I think it's time, I think it's time

[Chorus]
I'm hanging out with someone else
I think they like me too
Will it last? It’s hard to tell
When everything feels so new
Against her hips I find some help
But I know it's not the truth
No matter what I tell myself
She's not as good, she's not as good
She's not as good as you

[Bridge]
I'll fight all night
The feelings that I can't forget
I wish you were
Sleeping next to me instead
I loved the way your
Skin would feel against my chest
I pray you're not
The best that I will ever get
",2018,125.4K
Malibu Nights,Thru These Tears,"[Verse]
This hurts like hell
But I keep telling myself
It's gonna get better
But it's taking forever
I tried to go out
But every time I leave the house
Something reminds me
Of what's now behind me

[Pre-Chorus]
Everyday I let go
Just a little bit more

[Chorus]
In the end I'm gonna be alright
But it might take a hundred sleepless nights
To make the memories of you disappear
But right now I can't see nothing through these tears

[Verse]
Control my thoughts
Convincing myself it's your loss
I really mean it
And I'm starting to believe it

[Pre-Chorus]
'Cause everyday I let go
Just a little bit more

[Chorus]
In the end I'm gonna be alright
But it might take a hundred sleepless nights
To make the memories of you disappear
But right now I can't see nothing through these tears
Out of sight but you're not out of my mind
So it might take somebody else at night
To make it feel like you were never here
But right now I can't see nothing through these tears

[Bridge]
You said it was over
But when we got closer
You cried on my shoulder
Goodbye

[Chorus]
In the end I'm gonna be alright
But it might take a hundred sleepless nights
To make the memories of you disappear
But right now I can't see nothing through these tears
Out of sight but you're not out of my mind
So it might take somebody else at night
To make it feel like you were never here
But right now I can't see nothing through these tears
",2018,280.5K
Malibu Nights,Malibu Nights,"[Verse]
There's no reason, there's no rhyme
I found myself blindsided by
A feeling that I've never known
I'm dealing with it on my own
Phone is quiet, walls are bare
I drink myself to sleep, who cares?
No one even has to know
I'm dealing with it on my own

[Chorus]
I've got way too much time to be this hurt
Somebody help, it's getting worse
What do you do with a broken heart?
Once the light fades, everything is dark
Way too much whiskey in my blood
I feel my body giving up
Can I hold on for another night?
What do I do with all this time?

[Verse]
Heavy thoughts when it gets late
Put me in a fragile state
I wish I wasn't going home
Dealing with it on my own
I'm praying but it's not enough
I'm done, I don't believe in love
Learning how to let it go
Dealing with it on my own

[Chorus]
I've got way too much time to be this hurt
Somebody help, it's getting worse
What do you do with a broken heart?
Once the light fades, everything is dark
Way too much whiskey in my blood
I feel my body giving up
Can I hold on for another night?
What do I do with all this time? Yeah

[Refrain]
I drive circles under street lights
Nothing seems to clear my mind
I can't forget
Get this out my head, so
I drive, chasing Malibu nights
Nothing seems to heal my mind
I can't forget

[Chorus]
I've got way too much time to be this hurt
Somebody help, it's getting worse
What do you do with a broken heart?
Once the light fades, everything is dark
Way too much whiskey in my blood
I feel my body giving up
Can I hold on for another night?
What do I do with all this time? Yeah
",2018,686.6K
mamas boy,you!,"[Intro]
One, two
One, two, three

[Verse]
Like water in the desert
Impossible to find
But you found me when I was broken
Put me back together, gave me life
Like a flower in the concrete
So beautiful and rare
You gave me hope when I was empty
Walked me through the fire, you were there

[Chorus]
You're the sun to the moon
You’re my ocean painted blue
You, I'm nothing without you
(Without you, without you)

[Verse]
Like an angel in a nightmare
You opened up my eyes
Lookin' in all the wrong places
You’re the one I needed this whole time

[Chorus]
You're the sun to the moon
You're my ocean painted blue
You, I'm nothing without you
(Without you, without you)
You're the light in the dark
You're the arrow through my heart
You, I'm nothing without you (Oh, oh)
I'm nothing without you (Oh, oh)
I’m nothing without you (Oh, oh)
I’m nothing without you

[Bridge]
I'm nothing without you
I’m nothing without you
I'm nothing without you
I'm nothing without you
You're the air in my lungs
You’re the veins to my blood
Yeah, you, I'm nothing without you

[Chorus]
You're the sun (The sun) to the moon (The moon)
You're my ocean painted blue
You (Yeah), I'm nothing without you (Oh)
(Without you, without you)
You're the light in the dark
You're the arrow through my heart
You, I'm nothing without you (Oh, oh)
I'm nothing without you (Oh, oh)
I'm nothing without you (Oh, oh)
I'm nothing without you",2020,141.2K
mamas boy,cowboy in LA,"[Verse]
Palm trees square dancing under the moon
Sunsets, they ain't got nothin' on you
And the purple in the sky ain't as pretty as your eyes
Tell me what I gotta do
When you're with me it's better than Malibu

[Chorus]
Let's skip the club, let's skip the crowd
Wanna take you on a date
I'll hold your hand, I'll hold the door
'Cause that's how I was raised
Yeah, all the other boys in town all look and talk the same
But I got a different kind of heart
I'm a cowboy
A cowboy in LA
Cowboy in LA

[Verse]
Thunder, pick-ups, and cheap gasoline
Lightning, best show that I've ever seen
And you get up every day and you work hard for your pay
Happy in a pair of jeans
Oklahoma, it made a man out of me

[Chorus]
Let's skip the club, let's skip the crowd
Wanna take you on a date
I'll hold your hand, I'll hold the door
'Cause that's how I was raised
Yeah, all the other boys in town all look and talk the same
But I got a different kind of heart
I'm a cowboy
A cowboy in LA
Cowboy in LA

[Bridge]
And we can take it slow
This ain't a rodeo
I can show you something new

[Chorus]
Let's skip the club, let's skip the crowd
Wanna take you on a date
I'll hold your hand, I'll hold the door
'Cause that's how I was raised
And all the other girls in town won't look at you the same
'Cause I got a different kind of heart
I'm a cowboy
You got a cowboy in LA
Cowboy in LA

[Outro]
Palm trees square dancing under the moon",2020,62.6K
mamas boy,heart wont let me,"[Verse]
You and I always fight 'bout the same old thing
In the car, at the bar, by the kitchen sink
You used to say you want me, now we just say sorry
You and I always fight 'bout the same old thing

[Pre-Chorus]
I should've probably already left
But I never listen to my head

[Chorus]
Say, ""I'm gonna go,"" can't take it anymore
Keys are in my hands, got one foot out the door
Every time I try, every time I try to leave
My heart won't let me

[Verse]
Not okay, God I hate, hate the place we're in
But I forget for a sec when I kiss your lips

[Pre-Chorus]
I should've probably already left
But I never listen to my head

[Chorus]
Say, ""I'm gonna go,"" can't take it anymore
Keys are in my hand, got one foot out the door
Every time I try, every time I try to leave
My heart won't let me
Be the one to quit, I know it's gonna hurt
Lyin' to myself will only make it worse
Every time I try, every time I try to leave
My heart won't let me

[Post-Chorus]
Ooh, ooh
My heart won't let me
Ooh, ooh

[Bridge]
You used to say you want me
Now we just say sorry
Why can't I just walk away?

[Chorus]
Say, ""I'm gonna go,"" can't take it anymore
Keys are in my hand, got one foot out the door
Every time I try, every time I try to leave
My heart won't let me
Be the one to quit, I know it's gonna hurt
Lyin' to myself will only make it worse
Every time I try, every time I try to leave
My heart won't let me

[Post-Chorus]
Ooh, ooh
My heart won't let me
Ooh, ooh
My heart won't let me",2020,53.6K
mamas boy,i still talk to jesus,"[Verse]
If there's a heaven
I hope that I get in, but I probably won't
I break all the rules
Do all the things the Bible says, ""Don't""

[Pre-Chorus]
I don't change my ways, I don't change my shirt
I go from the club straight to the church
It's the same prayer, it's the same hurt

[Chorus]
Maybe I drink too much
Fall in and out of love
There's been a couple times
I've done a couple lines
I lie to my mama, I smoke marijuana
Most of the time I do what I wanna
You might not believe it
But I still talk to Jesus

[Verse]
I've got a past more stained than the glass
Everyone knows
I need salvation for my reputation
So here it goes

[Pre-Chorus]
I don't change my ways, I don't change my shirt
I go from the club straight to the church
It's the same prayer, it's the same hurt

[Chorus]
Maybe I drink too much
Fall in and out of love
There's been a couple times
I've done a couple lines
I lie to my mama, I smoke marijuana
Most of the time I do what I wanna
You might not believe it
But I still talk to Jesus

[Bridge]
Hallelujah, Amazing Grace
Just tryna do better than yesterday
Hallelujah, Amazing Grace
Just tryna do better than yesterday

[Chorus]
Maybe I drink too much
Fall in and out of love
There's been a couple times
I've done a couple lines
I lie to my mama, I smoke marijuana
Most of the time I do what I wanna
You might not believe it
But I still talk to Jesus
",2020,49.9K
mamas boy,if this is the last time,"[Verse]
Hey, mom, I know we're gettin' old
And the lines on our hands have changed
But you still look at me the same
Hey, mom, guess what? You're really tough
And I know you did all you could
Just to make sure my life was good

[Pre-Chorus]
Sorry for the fights and the tone of my voice
Sorry for the nights when I made the wrong choice
Life is flyin' by and it's hittin' me now
I hope it's not, but

[Chorus]
If this is the last time, please come close
I love you with all my heart, you know
I don't wanna cry, I'm bad at goodbye
If this is the last time
Then let's do the things we always do
Like go to the mall and buy some shoes
I don't wanna cry, I'm bad at goodbye
If this is the last time

[Verse]
Hey, dad, what's up? Miss you so much
Yeah, the shade of your hair has changed
But I look up to you the same

[Pre-Chorus]
Taught me how to fish, taught me how to ride a bike
Taught me how to love, how to treat a woman right
Life is flyin' by and it's hittin' me now
I hope it's not, but

[Chorus]
If this is the last time, please come close
I love you with all my heart, you know
I don't wanna cry, I'm bad at goodbye
If this is the last time
Then let's do the things we always do
Like go for a drive or watch the news
I don't wanna cry, I'm bad at goodbye
If this is the last time

[Bridge]
Hey you, sit back
Don't go so fast

[Chorus]
If this is the last time, please come close
I love you with all my heart, you know
I don't wanna cry, I'm bad at goodbye
If this is the last time
So let's do the things we always do
Or maybe we try something brand new
I don't wanna cry, I'm bad at goodbye
If this is the last time
",2020,189.2K
mamas boy,paper,"[Verse]
It's been a couple months since I moved in all my stuff
But this place still don’t feel like it's my home
And everybody thinks that we're the poster kids for love
But we’ll lay in bed and make love to our phones

[Pre-Chorus]
Even at our lowest low, we don't ever let it show
We both know we shouldn't be together

[Chorus]
But we look good on paper
We keep foolin' all the neighbors
They think we've got a perfect life
'Cause they don't hear us when we fight
So we look good on paper

[Post-Chorus]
Then we fall apart later
Then we fall apart later

[Verse]
Friday night when we go out and meet all our other friends
You're in that little black dress that I like
Posin’ for a photograph, we smile and play pretend
Is there any part of you that’s tired of lying?

[Pre-Chorus]
Even at our lowest low, we don't ever let it show
We both know we shouldn’t be together

[Chorus]
But we look good on paper
We keep foolin' all the neighbors
They think we've got a perfect life
'Cause they don’t hear us when we fight
So we look good on paper

[Post-Chorus]
Then we fall apart later
Then we fall apart later
Then we fall apart later
Then we fall apart later

[Refrain]
It's been a couple months since I moved in all my stuff
But this place still don't feel like it's my home
I don't wanna waste your time
I don't know why I'm wastin' mine
So tell me why the hell we're still together

[Chorus]
Is it 'cause we look good on paper?
We keep foolin' all the neighbors
They think we've got a perfect life
'Cause they don't hear us when we fight
So we look good on paper
",2020,27.2K
mamas boy,good guys,"[Verse]
I wanna call you up
Tell you how I feel
But I might scare you away if
I get too real
So I won't text back
For a couple hours
What I really wanna do is
Bring you flowers

[Pre-Chorus]
I'm not gonna hold your hand
Ask if you wanna dance
Not gonna take you home, even though

[Chorus]
I just wanna give you everythin'
Show you I'm a Southern gentleman
All I wanna do is let you in
But good guys, good guys never win
I just wanna be the one you call
Anything you need, anything at all
All I wanna do is let you in
But good guys, good guys never win

[Verse]
When you stay out late
And I don't hear back
I always wonder where you've been but
I don't ask
You're the one I want
I don't wanna share
But when you talk about someone else
I act like I don't care

[Pre-Chorus]
I'm not gonna hold your hand
Ask if you wanna dance
Not gonna take you home, even though

[Chorus]
I just wanna give you everythin'
Show you I'm a Southern gentleman
All I wanna do is let you in
But good guys, good guys never win
I just wanna be the one you call
Anything you need, anything at all
All I wanna do is let you in
But good guys, good guys never win

[Bridge]
So I'm gonna play it cool
'Til I know you want me too
So I'm gonna play it cool
'Til I know you want me too

[Chorus]
I just wanna give you everythin'
Show you I'm a Southern gentleman
All I wanna do is let you in
But good guys, good guys never win
I just wanna be the one you call
Anything you need, anything at all
All I wanna do is let you in
But good guys, good guys never win
",2020,511.3K
mamas boy,sharing you,"[Verse]
I never saw it comin', I was having fun alone
It took a couple shots, now I got your number in my phone
I wanna give you all of my time
Even though I know I'm not yours and you're not mine
I never saw it coming, I was having fun alone

[Chorus]
I kinda wish you'd talk to me more than you do
I know you're out tonight, but I don't know with who
I'm sorry I get jealous, or if I ever act selfish
But it's only 'cause I've got a hard time sharing you

[Verse]
I never saw it coming, I never really get this way
Pretty good with words, with you, I don't know what to say
I wanna tell you all my secrets
But I don't even know if you're willing to keep 'em
I never saw it coming, I never really get this way

[Chorus]
I kinda wish you'd talk to me more than you do
I know you're out tonight, but I don't know with who
I'm sorry I get jealous, or if I ever act selfish
But it's only 'cause I've got a hard time sharing you

[Bridge]
Tell me what you wanna know, I'll probably want it too
Tell me where you wanna go, and I'll go there with you
Take my hand, I swear to God, there's nothing we can't do
Tell me what you're scared of, I bet I'm scared of it too

[Chorus]
I kinda wish you'd talk to me more than you do
I know you're out tonight, but I don't know with who
I'm sorry I get jealous, or if I ever act selfish
But it's only 'cause I've got a hard time sharing you",2020,26.8K
mamas boy,bad news,"[Verse]
I'ma make your mama love me
Every time you take me home
I'ma make your daddy hate me
Every time that we're alone

[Pre-Chorus]
I'ma treat you right
You'll wanna be mine
And baby, that's the worst part
'Cause I'm never in town
I'll probably let you down
And I don't wanna break your heart

[Chorus]
I'm no good for you
Baby, I'm bad news
Wish it wasn't true
Baby, I'm bad news

[Verse]
I'ma make your sister jealous
Ask if I got any friends
I'ma make your brother worry
'Cause he knows I'm just like him

[Pre-Chorus]
I'ma treat you right
You'll wanna be mine
And baby, that's the worst part
'Cause I'm never in town
I'll probably let you down
And I don't wanna break your heart

[Chorus]
I'm no good for you
Baby, I'm bad news
Wish it wasn't true
Baby, I'm bad news

[Post-Chorus]
Think we should stop before it gets deep
Don't wanna make promises that I know I can't keep
I'm no good for you
Baby, I'm bad news
Baby, I'm bad news
Baby, I'm bad news

[Bridge]
I'ma make you kinda nervous
Every time I hit the road
Little rough around the edges
There's a side of me that you don't know, know, know
",2020,21.9K
mamas boy,when youre drunk,"[Verse]
2 AM, I'm wide awake
Ceiling fan, Coldplay
Haven't heard from you all day
TV-light, the sound is off
I'm keepin' my fingers crossed
But all you do is put me on pause

[Pre-Chorus]
I know, I know if I'm bein' honest
Then maybe we should call it

[Chorus]
Is it love, if you only ever want me when you're drunk?
If the only time you ever think of us
When you're out and had a little bit too much
Is it love?
Is it true if you say it in the middle of the night?
Or you're caught up in your feelings on a flight
If you only ever want me when you're drunk
Is it love? Oh, oh

[Post-Chorus]
You don't want me like I want you
You don't want me like I want you

[Verse]
Now it's been a couple days
When I start to feel okay
Phone lights up, I see your name

[Pre-Chorus]
I know, I know that I shouldn't pick up
But I don't wanna give up

[Chorus]
Is it love (Is it love), if you only ever want me when you're drunk? (You're drunk)
If the only time you ever think of us (Think of us)
When you're out and had a little bit too much (Bit too much)
Is it love?
Is it true (Is it true), if you say it in the middle of the night? (Of the night)
Or you're caught up in your feelings on a flight (On a flight)
If you only ever want me when you're drunk (When you're drunk)
Is it love? Oh, oh

[Post-Chorus]
You don't want me like I want you
You don't want me like I want you

[Chorus]
Is it love, if you only ever want me when you're drunk?
If the only time you ever think of us
When you're out and had a little bit too much
Is it love?
Is it true (Is it true), if you say it in the middle of the night? (Of the night)
Or you're caught up in your feelings on a flight (On a flight)
If you only ever want me when you're drunk (When you're drunk)
Is it love? Oh, oh
",2020,28.3K
mamas boy,anything 4 u,"[Verse]
I know the house you grew up in
All of the names of your best friends
I know the way you feel about your dad
I spent the summer on your couch
You fell in love with someone else
You came to me the times that it went bad

[Pre-Chorus]
I'm something so familiar
That you don't even notice
The way I wanna love ya
It's time that you should know this, know this

[Chorus]
I'll catch a flight, go to the moon
Lay on the floor of your living room
And talk about the things that make you cry
I'll sell my soul, sell my guitar
Sleep in the back of a beat-up car
Girl, just tell me what I have to do
I'll do anything for you

[Verse]
You know the house I grew up in
You wouldn't knock, you'd just walk in
Stay up for hours talking to my mom

[Pre-Chorus]
I'm something so familiar
That you don't even notice
The way I wanna love ya
It's time that you should know this, know this

[Chorus]
I'll catch a flight, go to the moon
Lay on the floor of your living room
And talk about the things that make you cry
I'll sell my soul, sell my guitar
Sleep in the back of a beat-up car
Girl, just tell me what I have to do

[Bridge]
If you say you wanna leave this town tonight
Then let's do it
If we're halfway there and then you change your mind
There's nothing to it
If it takes the rest of my whole life
To prove it

[Chorus]
I'll catch a flight, go to the moon
Lay on the floor of your living room
And talk about the things that make you cry
I'll never walk into another bar
I'll burn these tattoos off my arms
I'll go to hell and back if I have to
I'll do anything for you
I'll do anything for you
I'll do anything for you",2020,36.4K
mamas boy,sad,"[Verse]
You cut your hair, you dried your tears
You look happier than ever
And I hear he's nice and treats you well
I wish that I had loved you better
'Cause it feels like I'll never get over you
And I don't know what I'm supposed to do

[Chorus]
So I stay out late with all your friends
And I get so drunk that I pretend
That I don’t miss all the good things that we had
'Cause I heard you found somebody else
And it breaks my heart and hurts like hell
'Cause I know that I will never get you back
Wish that I could make you sad
Wish that I could make you sad

[Verse]
I kissed someone in front of you
Just to try to make you jealous
But you don't care, you don't cry
And there's nothing I can do to change your mind

[Chorus]
So I stay out late with all your friends
And I get so drunk that I pretend
That I don’t miss all the good things that we had
'Cause I heard you found somebody else
And it breaks my heart and hurts like hell
'Cause I know that I will never get you back
Wish that I could make you sad
Wish that I could make you sad

[Bridge]
And I can't believe what I'm going through
I hate myself for losing you

[Chorus]
So I stay out late with all your friends
And I get so drunk that I pretend
That I don't miss all the good things that we had
'Cause I heard you found somebody else
And it breaks my heart and hurts like hell
'Cause I know that I will never get you back
Wish that I could make you sad
Wish that I could make you sad

[Outro]
Wish that I could make you
Wish that I could make you sad",2020,33.9K
mamas boy,(what i wish just one person would say to me),"[Verse]
We were young, we fell in love, and our hearts were set aflame
I don't know what life is like if I'm not next to your name
Everything I've ever wanted, everything I need
But the space inside your heart is gonna need more than me

[Pre-Chorus]
I'm here to stay, I'll find a way, I know it hurts
There's no one else, I'll go through hell to make it work

[Chorus]
Look at you go
The world is yours, I'll hold it down at home
Even though I hate to be alonе
I know this is what you gotta do
I'm happy, I'm happy for you

[Verse]
Now and then, I find myself getting lost without you here
Been gone for a couple days, tell me why it feels like years
Everything I've ever wanted, everything I need
I'm gonna be strong for you, but I wish you'd never leave

[Pre-Chorus]
I'm here to stay, I'll find a way, I know it hurts
There's no one else, I'll go through hell to make it work

[Chorus]
Look at you go
The world is yours, I'll hold it down at home
Even though I hate to be alone
I know this is what you gotta do
I'm happy, I'm happy for you

[Instrumental Bridge]

[Chorus]
Look at you go
The world is yours, I'll hold it down at home
Even though I hate to be alone
I know this is what you gotta do
I'm happy, I'm happy for you
So hurry back and let me hold you tight
Even if it's only for the night
There is nothing that I wouldn't do
I'm happy, I'm happy for you",2020,88.1K
mamas boy,nobody else,"[Verse]
California sunshine
But sometimes it's gonna rain
Wish it was always blue skies
But they can turn to gray
Work yourself to the bone
But sometimes you just can't win

[Pre-Chorus]
Life ain't about what you do
It's who you do it with

[Chorus]
So let me know
Would ya lend a hand to me if I needed help?
Would ya keep me company when I'm by myself?
And if heaven doesn't want us, would you go with me to hell?
Hope you know I don't want nobody else

[Verse]
There's just no way around it
One day we're gonna die
If we can't live forever
Let's laugh until we cry
We can go to Paris, wе go to bed
It's all a crazy trip

[Pre-Chorus]
Life ain't about what you do
It's who you do it with

[Chorus]
So let me know
Would ya lend a hand to me if I needed help?
Would ya keep me company when I'm by myself?
And if heaven doesn't want us, would you go with me to hell?
Hope you know I don't want nobody else

[Instrumental Bridge]

[Chorus]
Would ya lend a hand to me if I needed help?
Would ya keep me company when I'm by myself?
And if heaven doesn't want us, would you go with me to hell?
Hope you know I don't want nobody else
Would ya call me back in the middle of the night
Would ya kiss and make up after a stupid fight?
If I share my darkest secrets, would you promise not to tell?
Hope you know I'd do these things as well
Hope you know I don't want nobody else",2020,50.1K
Malibu Nights,Thick and Thin,"[Verse]
Late night, your eyes fell to the floor
I'm trying to make sense
But you're losing your patience
Hands talk, won't stop, we go to war
In the heat of the moment
You think that we're broken

[Pre-Chorus]
I could see my whole life with you baby
Now you got me thinking that I'm crazy
'Cause you're

[Chorus]
Out the door, just one mistake
You say you're not in love no more
But was it really love if you can leave me for
Something so innocent?
Is this the end?
Thought you'd be there through thick and thin
(Oh-ooh, oh-ooh)

[Verse]
Can't sleep, can't eat
My mind's a mess
What are you thinking?
You were happy last weekend
All the good times
How'd you forget?
I was your best friend, yeah
Remember when you said

[Pre-Chorus]
You could see your whole life with me baby
Now you got me thinking that I'm crazy
'Cause you're

[Chorus]
Out the door, just one mistake
You say you're not in love no more
But was it really love if you can leave me for
Something so innocent?
Is this the end?
Thought you'd be there through thick and thin (Oh-ooh)
Thought you'd be there through thick and thin (Oh-ooh)
Thought you'd be there through thick and thin (Oh-ooh)
Thought you'd be there through thick and thin (Oh-ooh)

[Bridge]
Said you'd be there for me through everything
Said that you'd have my back with anything
Said you'd be there for me through everything
Said that you'd have my back with anything

[Chorus]
Now you're out the door, just one mistake
You say you're not in love no more (Love no more)
But was it really love if you can leave me for (Leave me for)
Something so innocent?
Is this the end? (Is this the end?)
Thought you'd be there through thick and thin (Oh-ooh)
Out the door, just one mistake
You say you're not in love no more (Oh-ooh)
But was it really love if you can leave me for (Oh-ooh)
Something so innocent?
Is this the end? (Oh-ooh)
Thought you'd be there through thick and thin (Oh-ooh)
",2018,226K
